provider_id,name,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
51G002,5TH AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"916 FIFTH AVENUE
SAINT ALBANS, WV 25177",304 720-0015,"916 FIFTH AVENUE
SAINT ALBANS, WV 25177",1981-10-06,9,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G003,POTOMAC CENTER,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"ONE BLUE STREET
ROMNEY, WV 26757",304 822-3861,"ONE BLUE STREET
ROMNEY, WV 26757",1983-11-09,24,No,Non-Profit,,,POTOMAC CENTER,False
51G007,CROSS LANES GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"5202 LINDA VISTA DRIVE
CROSS LANES, WV 25313",304 776-2005,"5202 LINDA VISTA DRIVE
CROSS LANES, WV 25313",1986-11-17,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G008,EIGHTH AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1519 8TH AVENUE
HUNTINGTON, WV 25701",304 523-0177,"1519 8TH AVENUE
HUNTINGTON, WV 25701",1987-03-06,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G009,VIRGINIA AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"821 VIRGINIA AVENUE
HUNTINGTON, WV 25701",304 523-0196,"821 VIRGINIA AVENUE
HUNTINGTON, WV 25701",1987-03-06,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G010,811 S. KANAWHA GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"811 S. KANAWHA STREET
BECKLEY, WV 25801",304 252-5937,"811 S. KANAWHA STREET
BECKLEY, WV 25801",1987-02-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G011,1204 S. KANAWHA GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1204 S. KANAWHA STREET
BECKLEY, WV 25801",304 252-5676,"1204 S. KANAWHA STREET
BECKLEY, WV 25801",1987-02-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G012,RUSSELL NESBITT APARTMENTS,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"501 MAIN STREET
WHEELING, WV 26003",304 234-3530,"501 MAIN STREET
WHEELING, WV 26003",1987-02-26,8,No,Non-Profit,,,"NORTHWOOD HEALTH SYSTEMS, INCORPORATED",False
51G013,MT CLARE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"7782 MOUNT CLARE ROAD
MOUNT CLARE, WV 26408",304 745-3014,"7782 MOUNT CLARE ROAD
MOUNT CLARE, WV 26408",1986-12-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G014,EAST END GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"300 RUFFNER AVENUE
CHARLESTON, WV 25301",304 341-0242,"300 RUFFNER AVENUE
CHARLESTON, WV 25301",1987-12-08,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G015,LAKEVIEW GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"826 LAKEVIEW DRIVE
PARKERSBURG, WV 26101",304 422-5359,"826 LAKEVIEW DRIVE
PARKERSBURG, WV 26101",1987-12-14,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G016,RIVERVIEW GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"17 12TH STREET
MC MECHEN, WV 26040",304 234-3520,"17 12TH STREET
MC MECHEN, WV 26040",1987-11-24,6,No,Non-Profit,,,"NORTHWOOD HEALTH SYSTEMS, INCORPORATED",False
51G017,CHURCH LANE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"226 CHURCH LANE
PRINCETON, WV 24740",304 425-2069,"226 CHURCH LANE
PRINCETON, WV 24740",1987-12-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G018,OLD BLUEFIELD GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"591 OLD BLUEFIELD ROAD
PRINCETON, WV 24739",304 425-6204,"591 OLD BLUEFIELD ROAD
PRINCETON, WV 24739",1987-12-17,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G020,SUMMERSVILLE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"509 DUFFY STREET
SUMMERSVILLE, WV 26651",304 872-2041,"509 DUFFY STREET
SUMMERSVILLE, WV 26651",1988-02-25,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G021,BETSY BROH HOUSE,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1625 6TH AVENUE
HUNTINGTON, WV 25701",304 529-2793,"1625 6TH AVENUE
HUNTINGTON, WV 25701",1988-04-22,6,No,Non-Profit,,,BETSY BROH HOUSE,False
51G022,"REM WV, INC., CURTIS AVENUE",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"904 CURTIS AVENUE
MORGANTOWN, WV 26505",304 296-1731,"904 CURTIS AVENUE
MORGANTOWN, WV 26505",1988-05-13,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G023,GABOYA PLACE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"201 SOUTH WATER STREET
MARTINSBURG, WV 25401",304 263-4601,"201 SOUTH WATER STREET
MARTINSBURG, WV 25401",1988-05-19,8,No,For Profit,"Vol-Merg, Close",2019-12-02,,True
51G024,SALEM GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"272 W. MAIN STREET
SALEM, WV 26426",304 782-3068,"272 W. MAIN STREET
SALEM, WV 26426",1988-11-17,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G025,JACKSON AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"330 JACKSON AVENUE
MADISON, WV 25130",304 369-7079,"330 JACKSON AVENUE
MADISON, WV 25130",1988-11-14,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G026,KENOVA GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1802 BEECH STREET
KENOVA, WV 25530",304 453-3239,"1802 BEECH STREET
KENOVA, WV 25530",1989-01-13,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G027,GUYANDOTTE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"209 RICHMOND STREET
HUNTINGTON, WV 25702",304 522-6748,"209 RICHMOND STREET
HUNTINGTON, WV 25702",1989-01-13,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G029,BU GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"196 JACK LANE
BUCKHANNON, WV 26201",304 472-5503,"196 JACK LANE
BUCKHANNON, WV 26201",1989-03-27,6,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G030,SPRING STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1615 SPRING STREET
PARKERSBURG, WV 26101",304 485-0476,"1615 SPRING STREET
PARKERSBURG, WV 26101",1989-04-05,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G031,WASHINGTON STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"400 WASHINGTON STREET
ROMNEY, WV 26757",304 822-3330,"400 WASHINGTON STREET
ROMNEY, WV 26757",1989-04-17,8,No,Non-Profit,,,"POTOMAC CENTER, INCORPORATED",False
51G032,GIHON GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"2240 GIHON ROAD
PARKERSBURG, WV 26101",304 485-0482,"2240 GIHON ROAD
PARKERSBURG, WV 26101",1989-04-18,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G033,TEMPLE STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"510 TEMPLE STREET
BECKLEY, WV 25801",304 252-6871,"510 TEMPLE STREET
BECKLEY, WV 25801",1989-05-01,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G034,ARC GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"523 24TH STREET
DUNBAR, WV 25064",304 768-2345,"523 24TH STREET
DUNBAR, WV 25064",1989-05-06,4,No,Non-Profit,,,"ARC OF THE THREE RIVERS, INCORPORATED",False
51G036,HUDSON GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"222 HUDSON STREET
SAINT ALBANS, WV 25177",304 727-5170,"222 HUDSON STREET
SAINT ALBANS, WV 25177",1989-06-21,6,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G037,BIRCH LANE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"347 W. BIRCH LANE
ROMNEY, WV 26757",304 822-3861,"347 W. BIRCH LANE
ROMNEY, WV 26757",1989-09-11,6,No,For Profit,,,"POTOMAC CENTER, INCORPORATED",False
51G038,VALLEY VIEW GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"129 VALLEY VIEW DRIVE
PRINCETON, WV 24740",304 425-0479,"129 VALLEY VIEW DRIVE
PRINCETON, WV 24740",1989-07-05,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G039,OAK HILL GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"134 BEECH AVENUE
OAK HILL, WV 25901",304 465-0505,"134 BEECH AVENUE
OAK HILL, WV 25901",1989-07-27,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G040,NUTTER FORT GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"218 INDIANA AVENUE
CLARKSBURG, WV 26301",304 624-6022,"218 INDIANA AVENUE
CLARKSBURG, WV 26301",1990-01-05,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G041,SIXTEENTH STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"2126 16TH STREET
PARKERSBURG, WV 26101",304 485-0478,"2126 16TH STREET
PARKERSBURG, WV 26101",1989-09-11,6,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G042,STONEWOOD GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"8082 2ND STREET
CLARKSBURG, WV 26301",304 624-6002,"8082 2ND STREET
CLARKSBURG, WV 26301",1989-09-11,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G043,BARBOUR STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"140 BARBOUR STREET
BUCKHANNON, WV 26201",304 472-1350,"140 BARBOUR STREET
BUCKHANNON, WV 26201",1989-10-19,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G044,DAVIS STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"26 DAVIS STREET
PETERSBURG, WV 26847",304 257-4474,"26 DAVIS STREET
PETERSBURG, WV 26847",1989-11-17,6,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G045,HANSFORD GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"637 HANSFORD STREET
SAINT ALBANS, WV 25177",304 722-1979,"637 HANSFORD STREET
SAINT ALBANS, WV 25177",1990-01-17,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G046,JUDYVILLE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"319 JUDYVILLE ROAD
LEWISBURG, WV 24901",304 647-3211,"319 JUDYVILLE ROAD
LEWISBURG, WV 24901",1990-02-01,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G047,MONTVUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"340 MONTVUE DRIVE
LEWISBURG, WV 24901",304 645-4215,"340 MONTVUE DRIVE
LEWISBURG, WV 24901",1990-02-13,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G048,NORTHSIDE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1200 THIRD STREET
MARTINSBURG, WV 25401",304 263-4742,"1200 THIRD STREET
MARTINSBURG, WV 25401",1990-05-02,6,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G049,"REM WV, INC., G. C. & P. ROAD",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"147 G.C. & P. ROAD
WHEELING, WV 26003",304 232-1749,"147 G.C. & P. ROAD
WHEELING, WV 26003",1990-04-23,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G050,MAIN STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"264 WEST MAIN STREET
SALEM, WV 26426",304 782-3517,"264 WEST MAIN STREET
SALEM, WV 26426",1990-05-07,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G051,"REM WV, INC., PADUCAH DRIVE",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"170 PADUCAH DRIVE
NEW MARTINSVILLE, WV 26155",304 455-4804,"170 PADUCAH DRIVE
NEW MARTINSVILLE, WV 26155",1990-04-29,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G052,SOUTHSIDE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1207 WEST VIRGINIA AVENUE
MARTINSBURG, WV 25401",304 263-4871,"1207 WEST VIRGINIA AVENUE
MARTINSBURG, WV 25401",1990-05-02,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G053,"REM WV, INC., WOODCREST DRIVE",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"201 WOODCREST DRIVE
FOLLANSBEE, WV 26037",304 527-2754,"201 WOODCREST DRIVE
FOLLANSBEE, WV 26037",1990-08-30,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G054,AMHERSTDALE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"525 PROCTOR BOTTOM ROAD
AMHERSTDALE, WV 25607",304 583-7079,"525 PROCTOR BOTTOM ROAD
AMHERSTDALE, WV 25607",1990-10-03,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G055,ACCOVILLE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"30 LULA SMOOT DRIVE
ACCOVILLE, WV 25606",304 583-7615,"30 LULA SMOOT DRIVE
ACCOVILLE, WV 25606",1990-10-04,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G056,FOWLER GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"408 FOWLER AVENUE
CLARKSBURG, WV 26301",304 622-0844,"408 FOWLER AVENUE
CLARKSBURG, WV 26301",1990-10-11,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G057,"REM WV, INC., FLYNN AVENUE",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1501 FLYNN AVENUE
WHEELING, WV 26003",304 242-9330,"1501 FLYNN AVENUE
WHEELING, WV 26003",1990-11-29,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G058,CORNELL STREET GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1600 CORNELL STREET
KEYSER, WV 26726",304 788-0101,"1600 CORNELL STREET
KEYSER, WV 26726",1991-02-06,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G059,"REM WV, INC., BROOKHAVEN ROAD",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"618 BROOKHAVEN ROAD
MORGANTOWN, WV 26508",304 292-6794,"618 BROOKHAVEN ROAD
MORGANTOWN, WV 26508",1991-03-07,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G060,FRANKLIN GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"139 GLOVER DRIVE
FRANKLIN, WV 26807",304 358-2407,"139 GLOVER DRIVE
FRANKLIN, WV 26807",1991-05-02,8,No,For Profit,,,"RSCR WEST VIRGINIA, INCORPORATED",True
51G061,"REM WV, INC., ROCKDALE ROAD",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"131 ROCKDALE ROAD
FOLLANSBEE, WV 26037",304 527-0192,"131 ROCKDALE ROAD
FOLLANSBEE, WV 26037",1991-04-25,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G062,"REM WV, INC., ARLINGTON",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"115 ARLINGTON AVENUE
MOUNDSVILLE, WV 26041",304 242-1770,"115 ARLINGTON AVENUE
MOUNDSVILLE, WV 26041",1991-05-29,8,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G063,"REM WV, INC., WHITE AVENUE",Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1040 WHITE AVENUE
MORGANTOWN, WV 26505",304 296-9026,"1040 WHITE AVENUE
MORGANTOWN, WV 26505",1992-06-25,7,No,For Profit,,,"REM WEST VIRGINIA, INCORPORATED",False
51G064,RAVEN AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"26 RAVEN AVENUE
WHEELING, WV 26003",304 234-3563,"26 RAVEN AVENUE
WHEELING, WV 26003",1993-04-08,6,No,Non-Profit,,,"NORTHWOOD HEALTH SYSTEMS, INCORPORATED",False
51G066,THOMPSON GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"651 GLENWOOD HAVEN ROAD
PRINCETON, WV 24739",304 487-9042,"651 GLENWOOD HAVEN ROAD
PRINCETON, WV 24739",1994-04-01,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G067,FAIRMONT GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1542 MARY LOU RETTON DRIVE
FAIRMONT, WV 26554",304 366-4415,"1542 MARY LOU RETTON DRIVE
FAIRMONT, WV 26554",1995-02-03,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G068,WOODWARD CHILDREN'S HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"2647 ROOSEVELT AVENUE
SAINT ALBANS, WV 25177",304 720-6903,"2647 ROOSEVELT AVENUE
SAINT ALBANS, WV 25177",2005-07-25,4,No,For Profit,,,WOODWARD CHILDREN'S HOME,False
51G069,TERRA ALTA CHILDREN'S HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"101 EAST VIEW DRIVE
TERRA ALTA, WV 26764",304 789-6795,"101 EAST VIEW DRIVE
TERRA ALTA, WV 26764",2005-08-09,5,No,For Profit,,,TERRA ALTA CHILDREN'S HOME,False
51G070,MCVEIGH GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1941 MCVEIGH AVENUE
HUNTINGTON, WV 25703",304 399-1252,"1941 MCVEIGH AVENUE
HUNTINGTON, WV 25703",2007-06-29,4,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G071,MONROE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1319 MONROE AVENUE
HUNTINGTON, WV 25704",304 399-1261,"1319 MONROE AVENUE
HUNTINGTON, WV 25704",2007-07-05,4,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G072,6TH STREET WEST GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"1036 6TH STREET WEST
HUNTINGTON, WV 25701",304 399-1252,"1036 6TH STREET WEST
HUNTINGTON, WV 25701",2007-07-05,4,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G073,CHAFIN GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"6905 MERRITTS CREEK ROAD
HUNTINGTON, WV 25702",304 733-0114,"6905 MERRITTS CREEK ROAD
HUNTINGTON, WV 25702",2008-10-03,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G074,MCGHEE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"6961 RIGHT FORK MERRITTS CREEK ROAD
HUNTINGTON, WV 25702",304 736-4647,"6961 RIGHT FORK MERRITTS CREEK ROAD
HUNTINGTON, WV 25702",2008-09-05,8,No,For Profit,,,"VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED",True
51G075,RITZ AVENUE GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"2302 RITZ AVENUE
WHEELING, WV 26003",304 234-3561,"2302 RITZ AVENUE
WHEELING, WV 26003",2011-06-07,6,No,Non-Profit,,,"NORTHWOOD HEALTH SYSTEMS, INCORPORATED",False
51G076,HARMON SCHOOL ROAD GROUP HOME,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"2164 HARMON SCHOOL ROAD
PRINCETON, WV 24739",304 425-4200,"2164 HARMON SCHOOL ROAD
PRINCETON, WV 24739",2013-02-25,8,No,For Profit,,,HARMON SCHOOL ROAD GROUP HOME,False
51G077,HAYNIE ROAD ICF,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(III) Philadelphia,WV,"2854 HAYNIE ROAD
HUNTINGTON, WV 25704",304 972-0084,"2854 HAYNIE ROAD
HUNTINGTON, WV 25704",2021-07-14,4,No,For Profit,,,,False
